,Adelaide,Mile_End,Adelaide_Showground,Goodwood,Clarence_Park,Emerson,Edwardstown,Woodlands_Park,Mitchell_Park,Tonsley,Flinders,Ascot_Park,Marion,Oaklands,Warradale,Hove,Brighton,Seacliff,Marino,Marino_Rocks,Hallett_Cove,Hallett_Cove_Beach,Lonsdale,Christie_Downs,Noarlunga_Centre,Seaford_Meadows,Seaford
0,5.3,5.34,5.36,5.38,5.4,5.41,5.43,5.45,-1.0,-1.0,-1.0,5.47,5.49,5.51,5.53,5.55,5.57,5.59,6.01,6.02,6.05,6.07,6.11,6.13,6.15,6.18,6.2
1,6.0,6.04,6.06,6.08,6.1,6.11,6.13,6.15,-1.0,-1.0,-1.0,6.17,6.19,6.21,6.23,6.25,6.27,6.29,6.31,6.32,6.35,6.37,6.41,6.43,6.45,6.48,6.5
2,6.15,6.19,6.21,6.23,6.25,6.26,6.28,6.3,6.33,6.35,6.37,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3,6.3,6.34,6.36,6.38,6.4,6.41,6.43,6.45,-1.0,-1.0,-1.0,6.47,6.49,6.51,6.53,6.55,6.57,6.59,7.01,7.02,7.05,7.07,7.11,7.13,7.15,7.18,7.2
4,6.35,6.39,6.41,6.43,6.45,6.46,6.48,6.5,6.53,6.55,6.57,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
5,6.5,6.54,6.56,6.58,7.0,7.01,7.03,7.05,-1.0,-1.0,-1.0,7.07,7.09,7.11,7.13,7.15,7.17,7.19,7.21,7.22,7.25,7.27,7.31,7.33,7.35,7.38,7.4
6,6.55,6.59,7.01,7.03,7.05,7.06,7.08,7.1,7.13,7.15,7.17,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
7,7.1,7.14,7.16,7.18,7.2,7.21,7.23,7.25,-1.0,-1.0,-1.0,7.27,7.29,7.31,7.33,7.35,7.37,7.39,7.41,7.42,7.45,7.47,7.51,7.53,7.55,7.58,8.0
8,7.15,7.19,7.21,7.23,7.25,7.26,7.28,7.3,7.33,7.35,7.37,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
9,7.26,7.3,7.32,7.34,7.36,7.37,7.39,7.41,-1.0,-1.0,-1.0,7.43,7.45,7.47,7.49,7.51,7.53,7.55,7.57,7.58,8.01,8.03,8.07,8.09,8.11,8.14,8.16
10,7.35,7.39,7.41,7.43,7.45,7.46,7.48,7.5,7.53,7.55,7.57,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
11,7.41,7.45,7.47,7.49,7.51,7.52,7.54,7.56,-1.0,-1.0,-1.0,7.58,8.0,8.02,8.04,8.06,8.08,8.1,8.12,8.13,8.16,8.18,8.22,8.24,8.26,8.29,8.31
12,7.54,7.58,8.0,8.02,8.04,8.05,8.07,8.09,8.12,8.14,8.16,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
13,7.57,8.01,8.03,8.05,8.07,8.08,8.1,8.12,-1.0,-1.0,-1.0,8.14,8.16,8.18,8.2,8.22,8.24,8.26,8.28,8.29,8.32,8.34,8.38,8.4,8.42,8.45,8.47
14,8.11,8.15,8.17,8.19,8.21,8.22,8.24,8.26,-1.0,-1.0,-1.0,8.28,8.3,8.32,8.34,8.36,8.38,8.4,8.42,8.43,8.46,8.48,8.52,8.54,8.56,8.59,9.01
15,8.15,8.19,8.21,8.23,8.25,8.26,8.28,8.3,8.33,8.35,8.37,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
16,8.26,8.3,8.32,8.34,8.36,8.37,8.39,8.41,-1.0,-1.0,-1.0,8.43,8.45,8.47,8.49,8.51,8.53,8.55,8.57,8.58,9.01,9.03,9.07,9.09,9.11,9.14,9.16
17,8.34,8.38,8.4,8.42,8.44,8.45,8.47,8.49,8.52,8.54,8.56,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
18,8.41,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.52,-1.0,-1.0,-1.0,8.54,8.56,8.58,9.0,9.02,9.04,9.06,9.08,9.09,9.12,9.14,9.18,9.2,9.22,9.25,9.27
19,8.56,9.0,9.02,9.04,9.06,9.07,9.09,9.11,-1.0,-1.0,-1.0,9.13,9.15,9.17,9.19,9.21,9.23,9.25,9.27,9.28,9.31,9.33,9.37,9.39,9.41,9.44,9.46
20,9.04,9.08,9.1,9.12,9.14,9.15,9.17,9.19,9.22,9.24,9.26,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
21,9.11,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.22,-1.0,-1.0,-1.0,9.24,9.26,9.28,9.3,9.32,9.34,9.36,9.38,9.39,9.42,9.44,9.48,9.5,9.52,9.55,9.57
22,9.26,9.3,9.32,9.34,9.36,9.37,9.39,9.41,-1.0,-1.0,-1.0,9.43,9.45,9.47,9.49,9.51,9.53,9.55,9.57,9.58,10.01,10.03,10.07,10.09,10.11,10.14,10.16
23,9.34,9.38,9.4,9.42,9.44,9.45,9.47,9.49,9.52,9.54,9.56,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
24,9.41,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.52,-1.0,-1.0,-1.0,9.54,9.56,9.58,10.0,10.02,10.04,10.06,10.08,10.09,10.12,10.14,10.18,10.2,10.22,10.25,10.27
25,9.56,10.0,10.02,10.04,10.06,10.07,10.09,10.11,-1.0,-1.0,-1.0,10.13,10.15,10.17,10.19,10.21,10.23,10.25,10.27,10.28,10.31,10.33,10.37,10.39,10.41,10.44,10.46
26,10.04,10.08,10.1,10.12,10.14,10.15,10.17,10.19,10.22,10.24,10.26,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
27,10.11,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.22,-1.0,-1.0,-1.0,10.24,10.26,10.28,10.3,10.32,10.34,10.36,10.38,10.39,10.42,10.44,10.48,10.5,10.52,10.55,10.57
28,10.26,10.3,10.32,10.34,10.36,10.37,10.39,10.41,-1.0,-1.0,-1.0,10.43,10.45,10.47,10.49,10.51,10.53,10.55,10.57,10.58,11.01,11.03,11.07,11.09,11.11,11.14,11.16
29,10.34,10.38,10.4,10.42,10.44,10.45,10.47,10.49,10.52,10.54,10.56,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
30,10.41,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.52,-1.0,-1.0,-1.0,10.54,10.56,10.58,11.0,11.02,11.04,11.06,11.08,11.09,11.12,11.14,11.18,11.2,11.22,11.25,11.27
31,10.56,11.0,11.02,11.04,11.06,11.07,11.09,11.11,-1.0,-1.0,-1.0,11.13,11.15,11.17,11.19,11.21,11.23,11.25,11.27,11.28,11.31,11.33,11.37,11.39,11.41,11.44,11.46
32,11.04,11.08,11.1,11.12,11.14,11.15,11.17,11.19,11.22,11.24,11.26,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
33,11.11,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11.22,-1.0,-1.0,-1.0,11.24,11.26,11.28,11.3,11.32,11.34,11.36,11.38,11.39,11.42,11.44,11.48,11.5,11.52,11.55,11.57
34,11.26,11.3,11.32,11.34,11.36,11.37,11.39,11.41,-1.0,-1.0,-1.0,11.43,11.45,11.47,11.49,11.51,11.53,11.55,11.57,11.58,12.01,12.03,12.07,12.09,12.11,12.14,12.16
35,11.34,11.38,11.4,11.42,11.44,11.45,11.47,11.49,11.52,11.54,11.56,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
36,11.41,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11.52,-1.0,-1.0,-1.0,11.54,11.56,11.58,12.0,12.02,12.04,12.06,12.08,12.09,12.12,12.14,12.18,12.2,12.22,12.25,12.27
