,Adelaide,Mile_End,Adelaide_Showground,Goodwood,Clarence_Park,Emerson,Edwardstown,Woodlands_Park,Mitchell_Park,Tonsley,Flinders,Ascot_Park,Marion,Oaklands,Warradale,Hove,Brighton,Seacliff,Marino,Marino_Rocks,Hallett_Cove,Hallett_Cove_Beach,Lonsdale,Christie_Downs,Noarlunga_Centre,Seaford_Meadows,Seaford
0,6.15,6.19,6.21,6.23,6.25,6.26,6.28,6.3,6.33,6.35,6.37,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1,6.52,6.56,6.58,7.0,7.02,7.03,7.05,7.07,7.1,7.12,7.14,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2,7.05,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.15,-1.0,-1.0,-1.0,7.17,7.19,7.21,7.23,7.25,7.27,7.29,7.31,7.32,7.35,7.37,7.41,7.43,7.45,7.48,7.5
3,7.22,7.26,7.28,7.3,7.32,7.33,7.35,7.37,7.4,7.42,7.44,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4,7.35,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.45,-1.0,-1.0,-1.0,7.47,7.49,7.51,7.53,7.55,7.57,7.59,8.01,8.02,8.05,8.07,8.11,8.13,8.15,8.18,8.2
5,7.52,7.56,7.58,8.0,8.02,8.03,8.05,8.07,8.1,8.12,8.14,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
6,8.05,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.15,-1.0,-1.0,-1.0,8.17,8.19,8.21,8.23,8.25,8.27,8.29,8.31,8.32,8.35,8.37,8.41,8.43,8.45,8.48,8.5
7,8.22,8.26,8.28,8.3,8.32,8.33,8.35,8.37,8.4,8.42,8.44,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
8,8.35,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.45,-1.0,-1.0,-1.0,8.47,8.49,8.51,8.53,8.55,8.57,8.59,9.01,9.02,9.05,9.07,9.11,9.13,9.15,9.18,9.2
9,8.52,8.56,8.58,9.0,9.02,9.03,9.05,9.07,9.1,9.12,9.14,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
