,Seaford,Seaford_Meadows,Noarlunga_Centre,Christie_Downs,Lonsdale,Hallett_Cove_Beach,Hallett_Cove,Marino_Rocks,Marino,Seacliff,Brighton,Hove,Warradale,Oaklands,Marion,Ascot_Park,Flinders,Tonsley,Mitchell_Park,Woodlands_Park,Edwardstown,Emerson,Clarence_Park,Goodwood,Adelaide_Showground,Mile_End,Adelaide
0,5.17,5.19,5.22,5.24,5.26,5.3,5.32,5.34,5.35,5.37,5.39,5.41,5.43,5.45,5.47,5.49,-1.0,-1.0,-1.0,5.51,5.53,5.54,5.56,5.59,6.0,6.03,6.07
1,5.47,5.49,5.52,5.54,5.56,6.0,6.02,6.04,6.05,6.07,6.09,6.11,6.13,6.15,6.17,6.19,-1.0,-1.0,-1.0,6.21,6.23,6.24,6.26,6.29,6.3,6.33,6.37
2,6.02,6.04,6.07,6.09,6.11,6.15,6.17,6.19,6.2,6.22,6.24,6.26,6.28,6.3,6.32,6.34,-1.0,-1.0,-1.0,6.36,6.38,6.39,6.41,6.44,6.45,6.48,6.52
3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.42,6.44,6.46,6.49,6.51,6.52,6.54,6.57,6.58,7.01,7.05
4,6.17,6.19,6.22,6.24,6.26,6.3,6.32,6.34,6.35,6.37,6.39,6.41,6.43,6.45,6.47,6.49,-1.0,-1.0,-1.0,6.51,6.53,6.54,6.56,6.59,7.0,7.03,7.07
5,6.32,6.34,6.37,6.39,6.41,6.45,6.47,6.49,6.5,6.52,6.54,6.56,6.58,7.0,7.02,7.04,-1.0,-1.0,-1.0,7.06,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.17
6,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.02,7.04,7.06,7.1,-1.0,-1.0,7.14,7.17,7.18,-1.0,7.24
7,-1.0,-1.0,6.48,-1.0,6.51,6.55,6.57,-1.0,-1.0,-1.0,7.03,7.05,7.07,7.09,-1.0,-1.0,-1.0,-1.0,-1.0,7.14,7.16,7.17,-1.0,-1.0,7.21,7.24,7.28
8,6.48,6.5,6.53,6.55,-1.0,7.0,7.02,7.04,7.05,7.07,7.09,-1.0,-1.0,7.13,7.15,7.17,-1.0,-1.0,-1.0,7.19,-1.0,-1.0,7.23,7.26,7.27,-1.0,7.33
9,6.58,7.0,7.03,-1.0,-1.0,7.09,7.11,-1.0,-1.0,-1.0,7.17,-1.0,-1.0,7.21,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.37
