,Seaford,Seaford_Meadows,Noarlunga_Centre,Christie_Downs,Lonsdale,Hallett_Cove_Beach,Hallett_Cove,Marino_Rocks,Marino,Seacliff,Brighton,Hove,Warradale,Oaklands,Marion,Ascot_Park,Flinders,Tonsley,Mitchell_Park,Woodlands_Park,Edwardstown,Emerson,Clarence_Park,Goodwood,Adelaide_Showground,Mile_End,Adelaide
0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.42,6.44,6.46,6.49,6.51,6.52,6.54,6.57,6.58,7.01,7.05
1,6.3,6.32,6.35,6.37,6.39,6.43,6.45,6.47,6.48,6.5,6.52,6.54,6.56,6.58,7.0,7.02,-1.0,-1.0,-1.0,7.04,7.06,7.07,7.09,7.12,7.13,7.16,7.2
2,7.0,7.02,7.05,7.07,7.09,7.13,7.15,7.17,7.18,7.2,7.22,7.24,7.26,7.28,7.3,7.32,-1.0,-1.0,-1.0,7.34,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.45
3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.32,7.34,7.36,7.4,7.42,7.43,7.45,7.48,7.49,7.52,7.56
4,7.3,7.32,7.35,7.37,7.39,7.43,7.45,7.47,7.48,7.5,7.52,7.54,7.56,7.58,8.0,8.02,-1.0,-1.0,-1.0,8.04,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.15
5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.02,8.04,8.06,8.1,8.12,8.13,8.15,8.18,8.19,8.22,8.26
6,8.0,8.02,8.05,8.07,8.09,8.13,8.15,8.17,8.18,8.2,8.22,8.24,8.26,8.28,8.3,8.32,-1.0,-1.0,-1.0,8.34,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.45
7,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.32,8.34,8.36,8.4,8.42,8.43,8.45,8.48,8.49,8.52,8.56
8,8.3,8.32,8.35,8.37,8.39,8.43,8.45,8.47,8.48,8.5,8.52,8.54,8.56,8.58,9.0,9.02,-1.0,-1.0,-1.0,9.04,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.15
9,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.02,9.04,9.06,9.1,9.12,9.13,9.15,9.18,9.19,9.22,9.26
10,9.0,9.02,9.05,9.07,9.09,9.13,9.15,9.17,9.18,9.2,9.22,9.24,9.26,9.28,9.3,9.32,-1.0,-1.0,-1.0,9.34,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.45
11,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.32,9.34,9.36,9.4,9.42,9.43,9.45,9.48,9.49,9.52,9.56
12,9.3,9.32,9.35,9.37,9.39,9.43,9.45,9.47,9.48,9.5,9.52,9.54,9.56,9.58,10.0,10.02,-1.0,-1.0,-1.0,10.04,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.15
13,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.02,10.04,10.06,10.1,10.12,10.13,10.15,10.18,10.19,10.22,10.26
14,10.0,10.02,10.05,10.07,10.09,10.13,10.15,10.17,10.18,10.2,10.22,10.24,10.26,10.28,10.3,10.32,-1.0,-1.0,-1.0,10.34,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.45
15,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.32,10.34,10.36,10.4,10.42,10.43,10.45,10.48,10.49,10.52,10.56
16,10.3,10.32,10.35,10.37,10.39,10.43,10.45,10.47,10.48,10.5,10.52,10.54,10.56,10.58,11.0,11.02,-1.0,-1.0,-1.0,11.04,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11.15
