Direction: Adelaide to Seaford
Service_days: Sat, Sun, PH
Stop_names:Adelaide, Mile_End, Adelaide_Showground, Goodwood, Clarence_Park, Emerson, Edwardstown, Woodlands_Park, Mitchell_Park, Tonsley, Flinders, Ascot_Park, Marion, Oaklands, Warradale, Hove, Brighton, Seacliff, Marino, Marino_Rocks, Hallett_Cove, Hallett_Cove_Beach, Lonsdale, Christie_Downs, Noarlunga_Centre, Seaford_Meadows, Seaford

6.15 6.19 6.21 6.23 6.25 6.26 6.28 6.30 6.33 6.35 6.37 - - - - - - - - - - - - - - - -
6.52 6.56 6.58 7.00 7.02 7.03 7.05 7.07 7.10 7.12 7.14 - - - - - - - - - - - - - - - -
7.05 - - - - - - 7.15 - - - 7.17 7.19 7.21 7.23 7.25 7.27 7.29 7.31 7.32 7.35 7.37 7.41 7.43 7.45 7.48 7.50
7.22 7.26 7.28 7.30 7.32 7.33 7.35 7.37 7.40 7.42 7.44 - - - - - - - - - - - - - - - -
7.35 - - - - - - 7.45 - - - 7.47 7.49 7.51 7.53 7.55 7.57 7.59 8.01 8.02 8.05 8.07 8.11 8.13 8.15 8.18 8.20
7.52 7.56 7.58 8.00 8.02 8.03 8.05 8.07 8.10 8.12 8.14 - - - - - - - - - - - - - - - -
8.05 - - - - - - 8.15 - - - 8.17 8.19 8.21 8.23 8.25 8.27 8.29 8.31 8.32 8.35 8.37 8.41 8.43 8.45 8.48 8.50
8.22 8.26 8.28 8.30 8.32 8.33 8.35 8.37 8.40 8.42 8.44 - - - - - - - - - - - - - - - -
8.35 - - - - - - 8.45 - - - 8.47 8.49 8.51 8.53 8.55 8.57 8.59 9.01 9.02 9.05 9.07 9.11 9.13 9.15 9.18 9.20
8.52 8.56 8.58 9.00 9.02 9.03 9.05 9.07 9.10 9.12 9.14 - - - - - - - - - - - - - - - -
9.05 - - - - - - 9.15 - - - 9.17 9.19 9.21 9.23 9.25 9.27 9.29 9.31 9.32 9.35 9.37 9.41 9.43 9.45 9.48 9.50
9.22 9.26 9.28 9.30 9.32 9.33 9.35 9.37 9.40 9.42 9.44 - - - - - - - - - - - - - - - -
9.35 - - - - - - 9.45 - - - 9.47 9.49 9.51 9.53 9.55 9.57 9.59 10.01 10.02 10.05 10.07 10.11 10.13 10.15 10.18 10.20
9.52 9.56 9.58 10.00 10.02 10.03 10.05 10.07 10.10 10.12 10.14 - - - - - - - - - - - - - - - -
10.05 - - - - - - 10.15 - - - 10.17 10.19 10.21 10.23 10.25 10.27 10.29 10.31 10.32 10.35 10.37 10.41 10.43 10.45 10.48 10.50
10.22 10.26 10.28 10.30 10.32 10.33 10.35 10.37 10.40 10.42 10.44 - - - - - - - - - - - - - - - -
10.35 - - - - - - 10.45 - - - 10.47 10.49 10.51 10.53 10.55 10.57 10.59 11.01 11.02 11.05 11.07 11.11 11.13 11.15 11.18 11.20
10.52 10.56 10.58 11.00 11.02 11.03 11.05 11.07 11.10 11.12 11.14 - - - - - - - - - - - - - - - -
11.05 - - - - - - 11.15 - - - 11.17 11.19 11.21 11.23 11.25 11.27 11.29 11.31 11.32 11.35 11.37 11.41 11.43 11.45 11.48 11.50
11.22 11.26 11.28 11.30 11.32 11.33 11.35 11.37 11.40 11.42 11.44 - - - - - - - - - - - - - - - -
11.35 - - - - - - 11.45 - - - 11.47 11.49 11.51 11.53 11.55 11.57 11.59 12.01 12.02 12.05 12.07 12.11 12.13 12.15 12.18 12.20
11.52 11.56 11.58 12.00 12.02 12.03 12.05 12.07 12.10 12.12 12.14 - - - - - - - - - - - - - - - -
12.05 - - - - - - 12.15 - - - 12.17 12.19 12.21 12.23 12.25 12.27 12.29 12.31 12.32 12.35 12.37 12.41 12.43 12.45 12.48 12.50
12.22 12.26 12.28 12.30 12.32 12.33 12.35 12.37 12.40 12.42 12.44 - - - - - - - - - - - - - - - -
12.35 - - - - - - 12.45 - - - 12.47 12.49 12.51 12.53 12.55 12.57 12.59 1.01 1.02 1.05 1.07 1.11 1.13 1.15 1.18 1.20
12.52 12.56 12.58 1.00 1.02 1.03 1.05 1.07 1.10 1.12 1.14 - - - - - - - - - - - - - - - -
1.05 - - - - - - 1.15 - - - 1.17 1.19 1.21 1.23 1.25 1.27 1.29 1.31 1.32 1.35 1.37 1.41 1.43 1.45 1.48 1.50
1.22 1.26 1.28 1.30 1.32 1.33 1.35 1.37 1.40 1.42 1.44 - - - - - - - - - - - - - - - -
1.35 - - - - - - 1.45 - - - 1.47 1.49 1.51 1.53 1.55 1.57 1.59 2.01 2.02 2.05 2.07 2.11 2.13 2.15 2.18 2.20
1.52 1.56 1.58 2.00 2.02 2.03 2.05 2.07 2.10 2.12 2.14 - - - - - - - - - - - - - - - -
2.05 - - - - - - 2.15 - - - 2.17 2.19 2.21 2.23 2.25 2.27 2.29 2.31 2.32 2.35 2.37 2.41 2.43 2.45 2.48 2.50
2.22 2.26 2.28 2.30 2.32 2.33 2.35 2.37 2.40 2.42 2.44 - - - - - - - - - - - - - - - -
2.35 - - - - - - 2.45 - - - 2.47 2.49 2.51 2.53 2.55 2.57 2.59 3.01 3.02 3.05 3.07 3.11 3.13 3.15 3.18 3.20
2.52 2.56 2.58 3.00 3.02 3.03 3.05 3.07 3.10 3.12 3.14 - - - - - - - - - - - - - - - -
3.05 - - - - - - 3.15 - - - 3.17 3.19 3.21 3.23 3.25 3.27 3.29 3.31 3.32 3.35 3.37 3.41 3.43 3.45 3.48 3.50
3.22 3.26 3.28 3.30 3.32 3.33 3.35 3.37 3.40 3.42 3.44 - - - - - - - - - - - - - - - -
3.35 - - - - - - 3.45 - - - 3.47 3.49 3.51 3.53 3.55 3.57 3.59 4.01 4.02 4.05 4.07 4.11 4.13 4.15 4.18 4.20
3.52 3.56 3.58 4.00 4.02 4.03 4.05 4.07 4.10 4.12 4.14 - - - - - - - - - - - - - - - -
4.05 - - - - - - 4.15 - - - 4.17 4.19 4.21 4.23 4.25 4.27 4.29 4.31 4.32 4.35 4.37 4.41 4.43 4.45 4.48 4.50
4.22 4.26 4.28 4.30 4.32 4.33 4.35 4.37 4.40 4.42 4.44 - - - - - - - - - - - - - - - -
4.35 - - - - - - 4.45 - - - 4.47 4.49 4.51 4.53 4.55 4.57 4.59 5.01 5.02 5.05 5.07 5.11 5.13 5.15 5.18 5.20

4.52 4.56 4.58 5.00 5.02 5.03 5.05 5.07 5.10 5.12 5.14 - - - - - - - - - - - - - - - -
