Direction: Seaford to Adelaide
Service_days: Sat, Sun, PH
Stop_names:Seaford, Seaford_Meadows, Noarlunga_Centre, Christie_Downs, Lonsdale, Hallett_Cove_Beach, Hallett_Cove, Marino_Rocks, Marino, Seacliff, Brighton, Hove, Warradale, Oaklands, Marion, Ascot_Park, Flinders, Tonsley, Mitchell_Park, Woodlands_Park, Edwardstown, Emerson, Clarence_Park, Goodwood, Adelaide_Showground, Mile_End, Adelaide

- - - - - - - - - - - - - - - - 6.42 6.44 6.46 6.49 6.51 6.52 6.54 6.57 6.58 7.01 7.05
6.30 6.32 6.35 6.37 6.39 6.43 6.45 6.47 6.48 6.50 6.52 6.54 6.56 6.58 7.00 7.02 - - - 7.04 7.06 7.07 7.09 7.12 7.13 7.16 7.20
7.00 7.02 7.05 7.07 7.09 7.13 7.15 7.17 7.18 7.20 7.22 7.24 7.26 7.28 7.30 7.32 - - - 7.34 - - - - - - 7.45
- - - - - - - - - - - - - - - - 7.32 7.34 7.36 7.40 7.42 7.43 7.45 7.48 7.49 7.52 7.56
7.30 7.32 7.35 7.37 7.39 7.43 7.45 7.47 7.48 7.50 7.52 7.54 7.56 7.58 8.00 8.02 - - - 8.04 - - - - - - 8.15
- - - - - - - - - - - - - - - - 8.02 8.04 8.06 8.10 8.12 8.13 8.15 8.18 8.19 8.22 8.26
8.00 8.02 8.05 8.07 8.09 8.13 8.15 8.17 8.18 8.20 8.22 8.24 8.26 8.28 8.30 8.32 - - - 8.34 - - - - - - 8.45
- - - - - - - - - - - - - - - - 8.32 8.34 8.36 8.40 8.42 8.43 8.45 8.48 8.49 8.52 8.56
8.30 8.32 8.35 8.37 8.39 8.43 8.45 8.47 8.48 8.50 8.52 8.54 8.56 8.58 9.00 9.02 - - - 9.04 - - - - - - 9.15
- - - - - - - - - - - - - - - - 9.02 9.04 9.06 9.10 9.12 9.13 9.15 9.18 9.19 9.22 9.26
9.00 9.02 9.05 9.07 9.09 9.13 9.15 9.17 9.18 9.20 9.22 9.24 9.26 9.28 9.30 9.32 - - - 9.34 - - - - - - 9.45
- - - - - - - - - - - - - - - - 9.32 9.34 9.36 9.40 9.42 9.43 9.45 9.48 9.49 9.52 9.56
9.30 9.32 9.35 9.37 9.39 9.43 9.45 9.47 9.48 9.50 9.52 9.54 9.56 9.58 10.00 10.02 - - - 10.04 - - - - - - 10.15
- - - - - - - - - - - - - - - - 10.02 10.04 10.06 10.10 10.12 10.13 10.15 10.18 10.19 10.22 10.26
10.00 10.02 10.05 10.07 10.09 10.13 10.15 10.17 10.18 10.20 10.22 10.24 10.26 10.28 10.30 10.32 - - - 10.34 - - - - - - 10.45
- - - - - - - - - - - - - - - - 10.32 10.34 10.36 10.40 10.42 10.43 10.45 10.48 10.49 10.52 10.56
10.30 10.32 10.35 10.37 10.39 10.43 10.45 10.47 10.48 10.50 10.52 10.54 10.56 10.58 11.00 11.02 - - - 11.04 - - - - - - 11.15
- - - - - - - - - - - - - - - - 11.02 11.04 11.06 11.10 11.12 11.13 11.15 11.18 11.19 11.22 11.26
11.00 11.02 11.05 11.07 11.09 11.13 11.15 11.17 11.18 11.20 11.22 11.24 11.26 11.28 11.30 11.32 - - - 11.34 - - - - - - 11.45
- - - - - - - - - - - - - - - - 11.32 11.34 11.36 11.40 11.42 11.43 11.45 11.48 11.49 11.52 11.56
11.30 11.32 11.35 11.37 11.39 11.43 11.45 11.47 11.48 11.50 11.52 11.54 11.56 11.58 12.00 12.02 - - - 12.04 - - - - - - 12.15
- - - - - - - - - - - - - - - - 12.02 12.04 12.06 12.10 12.12 12.13 12.15 12.18 12.19 12.22 12.26
12.00 12.02 12.05 12.07 12.09 12.13 12.15 12.17 12.18 12.20 12.22 12.24 12.26 12.28 12.30 12.32 - - - 12.34 - - - - - - 12.45
- - - - - - - - - - - - - - - - 12.32 12.34 12.36 12.40 12.42 12.43 12.45 12.48 12.49 12.52 12.56
12.30 12.32 12.35 12.37 12.39 12.43 12.45 12.47 12.48 12.50 12.52 12.54 12.56 12.58 1.00 1.02 - - - 1.04 - - - - - - 1.15
- - - - - - - - - - - - - - - - 1.02 1.04 1.06 1.10 1.12 1.13 1.15 1.18 1.19 1.22 1.26
1.00 1.02 1.05 1.07 1.09 1.13 1.15 1.17 1.18 1.20 1.22 1.24 1.26 1.28 1.30 1.32 - - - 1.34 - - - - - - 1.45
- - - - - - - - - - - - - - - - 1.32 1.34 1.36 1.40 1.42 1.43 1.45 1.48 1.49 1.52 1.56
1.30 1.32 1.35 1.37 1.39 1.43 1.45 1.47 1.48 1.50 1.52 1.54 1.56 1.58 2.00 2.02 - - - 2.04 - - - - - - 2.15
